"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"774","WSU-NHL","WSU-NHL","","","","","WSU-NHL","","WSU-NHL","","WSU-NHL","",NA,"haematopoietic_and_lymphoid_tissue","","","","","Blood","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"775","YAPC","YAPC","YAPC","YAPC","","","YAPC","","YAPC","YAPC","YAPC","","YAPC","pancreas","pancreas","pancreas","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas"
"776","YH-13","YH-13","YH-13","","","","","","YH-13","YH-13","YH-13","","YH13","central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system"
"777","YKG-1","YKG-1","YKG1","","","","","","YKG-1","YKG1","YKG-1","","YKG1","central_nervous_system","central_nervous_system","","","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system"
"778","YT","YT","","","","","","","YT","","YT","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"779","ZR-75-30","ZR-75-30","ZR-75-30","","","ZR7530","ZR-75-30","","ZR-75-30","ZR-75-30","ZR-75-30","zr7530","ZR7530","breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast"
"780","1321N1","","1321N1","","","","","","","","","",NA,"","central_nervous_system","","","","","","","","","","","central_nervous_system",NA
"781","143B","","143B","","","","143B","","","","","",NA,"","bone","","","","Bone","","","","","","bone","bone",NA
"782","253J","","253J","","","","","","","253J","","","253J","","urinary_tract","","","","","","","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract"
"783","253J-BV","","253J-BV","","","","","","","253J-BV","","","253JBV","","urinary_tract","","","","","","","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract"
"784","42-MG-BA","","42-MG-BA","","","","","","42-MG-BA","42-MG-BA","42-MG-BA","","42MGBA","","central_nervous_system","","","","","","Brain","central_nervous_system","","","central_nervous_system","central_nervous_system","central_nervous_system"
"785","59M","","59M","","","","59M","","","59M","","",NA,"","ovary","","","","Ovary","","","ovary","","","","ovary",NA
"786","A1207","","A1207","","","","","","","","","",NA,"","central_nervous_system","","","","","","","","","","","central_nervous_system",NA
"787","ACC-MESO-1","","ACC-MESO-1","","","","","","","ACC-MESO-1","","","ACCMESO1","","pleura","","","","","","","pleura","","","pleura","pleura","pleura"
"788","ACCS","","ACCS","","","","","","","","","",NA,"","urinary_tract","","","","","","","","","","","urinary_tract",NA
"789","Alexander cells","","Alexander cells","","","","","","","","","",NA,"","liver","","","","","","","","","","","liver",NA
"790","ALL-SIL","","ALL-SIL","","","","","","ALL-SIL","ALL-SIL","ALL-SIL","","ALLSIL","","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"791","AMO-1","","AMO-1","","","","AMO-1","AMO1","AMO-1","AMO-1","AMO-1","","AMO1","","haematopoietic_and_lymphoid_tissue","","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"792","AZ-521","","AZ-521","","","","","","","","","",NA,"","stomach","","","","","","","","","","stomach","stomach",NA
"793","BC-3C","","BC-3C","","","","","","","BC-3C","","","BC3C","","urinary_tract","","","","","","","urinary_tract","","","urinary_tract","urinary_tract","urinary_tract"
